year,delhi_avg_temp,global_avg_temp
1796,25.03,8.27
1797,26.71,8.51
1798,24.29,8.67
1799,25.28,8.51
1800,25.21,8.48
1801,24.22,8.59
1802,25.63,8.58
1803,25.38,8.5
1804,25.68,8.84
1805,25.3,8.56
1806,25.22,8.43
1807,24.97,8.28
1813,24.56,7.74
1814,23.73,7.59
1815,24.09,7.24
1816,23.7,6.94
1817,23.86,6.98
1818,24.37,7.83
1819,23.9,7.37
1820,24.12,7.62
1821,24.83,8.09
1822,24.93,8.19
1823,24.63,7.72
1824,25.3,8.55
1825,25.11,8.39
1826,25.12,8.36
1827,25.36,8.81
1828,24.9,8.17
1829,24.71,7.94
1830,25.07,8.52
1831,24.43,7.64
1832,24.62,7.45
1833,24.85,8.01
1834,24.82,8.15
1835,23.9,7.39
1836,24.54,7.7
1837,24.42,7.38
1838,24.38,7.51
1839,24.45,7.63
1840,24.72,7.8
1841,24.49,7.69
1842,24.78,8.02
1843,24.75,8.17
1844,24.36,7.65
1845,24.6,7.85
1846,25.16,8.55
1847,24.66,8.09
1848,24.45,7.98
1849,24.49,7.98
1850,24.78,7.9
1851,24.76,8.18
1852,24.65,8.1
1853,24.88,8.04
1854,25.02,8.21
1855,25.24,8.11
1856,23.86,8
1857,24.3,7.76
1870,24.89,8.2
1871,24.88,8.12
1872,24.94,8.19
1873,25.06,8.35
1874,24.25,8.43
1875,25.38,7.86
1876,24.93,8.08
1877,25.08,8.54
1878,25.18,8.83
1879,24.86,8.17
1880,25.45,8.12
1881,25.09,8.27
1882,24.89,8.13
1883,24.82,7.98
1884,24.67,7.77
1885,24.38,7.92
1886,24.89,7.95
1887,24.9,7.91
1888,24.88,8.09
1889,25.21,8.32
1890,25.06,7.97
1891,24.68,8.02
1892,25.49,8.07
1893,23.84,8.06
1894,24.74,8.16
1895,25.15,8.15
1896,25.83,8.21
1897,25.39,8.29
1898,25.55,8.18
1899,25.86,8.4
1900,25.56,8.5
1901,25.49,8.54
1902,25.66,8.3
1903,25.14,8.22
1904,25.07,8.09
1905,24.75,8.23
1906,25.17,8.38
1907,25.02,7.95
1908,25.14,8.19
1909,24.75,8.18
1910,24.81,8.22
1911,25.36,8.18
1912,25.25,8.17
1913,24.94,8.3
1914,25.12,8.59
1915,25.73,8.59
1916,25.07,8.23
1917,23.84,8.02
1918,25.28,8.13
1919,24.84,8.38
1920,24.99,8.36
1921,26.04,8.57
1922,25.18,8.41
1923,25.26,8.42
1924,24.98,8.51
1925,24.85,8.53
1926,24.78,8.73
1927,24.73,8.52
1928,25.65,8.63
1929,25.39,8.24
1930,25.1,8.63
1931,25.58,8.72
1932,25.63,8.71
1933,24.52,8.34
1934,24.96,8.63
1935,24.81,8.52
1936,24.76,8.55
1937,24.81,8.7
1938,25.36,8.86
1939,25.24,8.76
1940,25.07,8.76
1941,26.3,8.77
1942,25.4,8.73
1943,25.25,8.76
1944,24.98,8.85
1945,24.78,8.58
1946,25.47,8.68
1947,25.72,8.8
1948,25.45,8.75
1949,25.6,8.59
1950,24.66,8.37
1951,25.58,8.63
1952,25.84,8.64
1953,26.14,8.87
1954,25.68,8.56
1955,25.15,8.63
1956,25.3,8.28
1957,24.91,8.73
1958,25.93,8.77
1959,25.56,8.73
1960,25.53,8.58
1961,24.8,8.8
1962,25.18,8.75
1963,25.46,8.86
1964,25.05,8.41
1965,25.26,8.53
1966,25.52,8.6
1967,24.98,8.7
1968,25.02,8.52
1969,25.8,8.6
1970,25.39,8.7
1971,24.81,8.6
1972,25.42,8.5
1973,25.56,8.95
1974,25.52,8.47
1975,25.02,8.74
1976,25.33,8.35
1977,25.41,8.85
1978,25.21,8.69
1979,25.81,8.73
1980,26.02,8.98
1981,25.79,9.17
1982,25.18,8.64
1983,24.75,9.03
1984,25.56,8.69
1985,25.86,8.66
1986,25.31,8.83
1987,26.54,8.99
1988,26.11,9.2
1989,25.43,8.92
1990,25.54,9.23
1991,25.74,9.18
1992,25.52,8.84
1993,25.92,8.87
1994,25.87,9.04
1995,25.92,9.35
1996,25.55,9.04
1997,24.71,9.2
1998,25.77,9.52
1999,26.36,9.29
2000,26.05,9.2
2001,25.86,9.41
2002,26.63,9.57
2003,25.72,9.53
2004,26.24,9.32
2005,25.72,9.7
2006,26.37,9.53
2007,26.15,9.73
2008,25.68,9.43
2009,26.55,9.51
2010,26.52,9.7
2011,25.63,9.52
2012,25.89,9.51
2013,26.71,9.61
